# 📊 Отчет о миграции и пересчете баллов
Всего пользователей для обработки: 31
Найдено завершенных турниров: 2
------------------------------
## 👥 Изменения статистики пользователей
Пользователь         | Было  -> Стало | Турниров | Идеал 💎
----------------------------------------------------------------------
azhohov              | 58    -> 11    (-47)  | 2        | 0
v01fff               | 71    -> 16    (-55)  | 2        | 0
Denisok88            | 0     -> 0     (+0)   | 0        | 0
serhio_yakos         | 0     -> 0     (+0)   | 0        | 0
t_oau                | 80    -> 24    (-56)  | 2        | 0
maximazuk            | 0     -> 0     (+0)   | 0        | 0
mdpr9                | 48    -> 10    (-38)  | 2        | 0
tat_1920             | 83    -> 28    (-55)  | 2        | 0
unknown              | 54    -> 14    (-40)  | 2        | 0
chanlastname         | 0     -> 0     (+0)   | 0        | 0
IURII_FILIPPOV       | 0     -> 0     (+0)   | 0        | 0
stagedo              | 0     -> 0     (+0)   | 0        | 0
grechnevikov         | 60    -> 15    (-45)  | 2        | 0
GuyRichieTop         | 87    -> 25    (-62)  | 2        | 0
nikito4kv            | 84    -> 25    (-59)  | 2        | 0
StepanenkoIlya       | 74    -> 28    (-46)  | 2        | 0
matulimbo            | 70    -> 20    (-50)  | 2        | 0
valzon               | 4     -> 1     (-3)   | 2        | 0
TinRim               | 61    -> 15    (-46)  | 2        | 0
Alexey_Perfilyev     | 0     -> 0     (+0)   | 0        | 0
atiukhtii            | 0     -> 0     (+0)   | 0        | 0
m_melnikov13         | 71    -> 20    (-51)  | 2        | 0
Innzon               | 0     -> 0     (+0)   | 0        | 0
georgep1983          | 0     -> 0     (+0)   | 0        | 0
nikita_easycode      | 0     -> 0     (+0)   | 0        | 0
unknown              | 0     -> 0     (+0)   | 0        | 0
Welestzvezd          | 81    -> 21    (-60)  | 2        | 0
Starrlux             | 0     -> 0     (+0)   | 0        | 0
mirzon0111           | 52    -> 14    (-38)  | 2        | 0
natiak1987           | 0     -> 0     (+0)   | 0        | 0
dtrrk                | 0     -> 0     (+0)   | 0        | 0
